,date,age,signs_of_mental_illness,body_camera,killed_unarmed,manner_of_death_shot,manner_of_death_shot and Tasered,gender_F,gender_M,race_Asian,race_Black,race_Hispanic,race_Native,race_Other,race_White,threat_level_attack,threat_level_other,threat_level_undetermined,flee_Car,flee_Foot,flee_Not fleeing,flee_Other
172,1425859200000000000,46.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
173,1425859200000000000,30.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
174,1425945600000000000,64.0,False,True,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
175,1425945600000000000,31.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
176,1425945600000000000,23.0,False,True,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
177,1425945600000000000,37.0,True,False,False,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
178,1426032000000000000,37.0,False,False,False,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
179,1426032000000000000,31.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
180,1426032000000000000,39.0,False,False,False,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
181,1426032000000000000,31.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
182,1426032000000000000,54.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
183,1426032000000000000,53.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
184,1426032000000000000,25.0,False,False,False,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
185,1426118400000000000,35.0,True,False,True,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
186,1426204800000000000,41.0,False,False,False,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
187,1426204800000000000,59.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
188,1426204800000000000,36.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
189,1426204800000000000,32.0,False,False,True,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
190,1426291200000000000,53.0,False,False,False,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
191,1426291200000000000,26.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
192,1426291200000000000,29.0,True,False,False,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
193,1426377600000000000,27.0,False,False,False,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
194,1426464000000000000,28.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
195,1426464000000000000,52.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
